,deer_a,wildb,rabbit,rat,fox,badger,ant,mut,class_ant,class_mut,combination,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop
50,0.2063,0,0,0,0,0,0.2063,0,strong,absent,ant-strong_mut-absent,Antagonist,1.48380161,3.24202726,6.81560326,0.43185079,0.41407917,0.12307017,1.12150454,0.83384501,Martinazo
51,7.35,0.0418,0,0,0,0.0123868,7.3918,0.0123868,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist,0.23316882,3.01686696,6.81560326,1.22357724,0.18436382,0.22659425,0.69991446,0.55589668,Martinazo
52,0,0.1531,0,0,0,0,0.1531,0,strong,absent,ant-strong_mut-absent,Antagonist,6.27436108,5.05963065,6.40416265,0.4558425,1.84823908,0.51304051,1.26584071,0.55589668,Martinazo
53,0.0749,0.1729,0,0,0,0,0.2478,0,strong,absent,ant-strong_mut-absent,Antagonist,1.39901294,2.52501649,6.81560326,0.49183007,0.44464215,0.07099423,0.14353331,1.11179335,Martinazo
54,0.6248,0,0,0,0,0,0.6248,0,strong,absent,ant-strong_mut-absent,Antagonist,0.9326753,2.23548684,6.81560326,1.03164355,0.62177602,0.08348324,0.7195399,2.2235867,Martinazo
55,0.0501,0.0968,0,0,0,0,0.1469,0,strong,absent,ant-strong_mut-absent,Antagonist,1.46260444,2.52540139,6.40416265,0.32388809,0.30612281,0.00745526,0.10562054,4.4471734,Martinazo
56,0.0251,0.0553,0,0,0,0,0.0804,0,strong,absent,ant-strong_mut-absent,Antagonist,1.05985829,2.04993193,6.81560326,0.52781763,0.36149769,0.05977315,0.00089207,4.16922506,Martinazo
57,0.1688,0.7298,0.0199056,0,0,0,0.8986,0.0199056,strong,weak,ant-strong_mut-weak,Mutualist-Antagonist,1.44140728,3.60276963,6.81560326,0.17993783,0.16760347,0.07240309,0.00089207,2.77948338,Martinazo
58,0.056,0,0,0,0,0,0.056,0,strong,absent,ant-strong_mut-absent,Antagonist,1.14464695,2.62137807,6.40416265,0.64777618,0.47914875,0.0540308,0.50553343,1.11179335,Martinazo
59,0,0,0,0,0,0.0024881,0,0.0024881,absent,weak,ant-absent_mut-weak,Mutualist,0.29676032,1.38206419,6.40416265,0.15594612,0.02990572,0.61597818,0.87181545,0.55589668,Martinazo
60,1.3875,0,0,0,0,0.0634018,1.3875,0.0634018,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist,0.50873198,1.4972362,6.81560326,0.32388809,0.1064775,0.19902768,0.83541919,1.38974169,Martinazo
61,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,0.63591497,0.89578234,6.40416265,0.37187151,0.15281493,0.2440416,0.91062029,0.55589668,Martinazo
62,0.2129,0,0,0,0,0,0.2129,0,strong,absent,ant-strong_mut-absent,Antagonist,0.25436599,1.30528284,6.81560326,0.50382592,0.08281583,0.07824844,0.41588086,1.38974169,Martinazo
63,0.6993,0,0,0,0,0,0.6993,0,strong,absent,ant-strong_mut-absent,Antagonist,2.81922305,1.91358006,6.81560326,0.85170572,1.55164666,0.01286006,0.26851167,1.38974169,Martinazo
64,6.6224,0,0,0,0,0,6.6224,0,strong,absent,ant-strong_mut-absent,Antagonist,0.25436599,3.37242559,9.44524547,1.07962697,0.1774625,0.58728019,1.13970267,0.55589668,Martinazo
65,4.0664,0,0,0,0,0,4.0664,0,strong,absent,ant-strong_mut-absent,Antagonist,2.92520888,2.18231477,6.81560326,0.53981349,1.02040938,0.08315504,0.9353305,1.94563836,Martinazo
66,0,0,0,0,0,0.0323811,0,0.0323811,absent,weak,ant-absent_mut-weak,Mutualist,0.46633765,1.05574348,6.81560326,0.23991711,0.07229954,0.28237885,1.30303983,1.94563836,Martinazo
67,0.3439,0.7298,0.0476762,0.0573716,0,0,1.0737,0.1050478,strong,strong,ant-strong_mut-strong,Mutualist-Antagonist,0.72070364,1.57721677,6.40416265,0.63578033,0.29609947,0.63942167,1.67690441,0.55589668,Martinazo
68,1.1259,0,0,0,0,0,1.1259,0,strong,absent,ant-strong_mut-absent,Antagonist,2.77682872,4.1490669,6.81560326,1.11561454,2.0018756,0.96605112,2.4577292,0.27794834,Martinazo
69,0,0,0,0,0,0,0,0,absent,absent,ant-absent_mut-absent,No_Interaction,2.71323722,3.6263789,6.40416265,1.24756895,2.18738964,0.87463414,0.6116892,0.55589668,Martinazo
70,0.0563,0,0,0,0,0,0.0563,0,strong,absent,ant-strong_mut-absent,Antagonist,1.08105546,0.75943048,6.40416265,0.20392954,0.14246295,1.49486549,3.64488975,0.27794834,Martinazo
