,combination,count,freq,iteration
119,ant-weak_mut-absent,4,0.166666667,9984
120,ant-weak_mut-strong,1,0.041666667,9984
121,ant-weak_mut-weak,2,0.083333333,9984
122,ant-absent_mut-absent,4,0.166666667,9983
123,ant-absent_mut-strong,1,0.041666667,9983
124,ant-absent_mut-weak,1,0.041666667,9983
125,ant-strong_mut-absent,10,0.416666667,9983
126,ant-strong_mut-strong,1,0.041666667,9983
127,ant-strong_mut-weak,3,0.125,9983
128,ant-weak_mut-absent,2,0.083333333,9983
129,ant-weak_mut-weak,2,0.083333333,9983
130,ant-absent_mut-absent,4,0.166666667,9982
131,ant-strong_mut-absent,10,0.416666667,9982
132,ant-strong_mut-strong,1,0.041666667,9982
133,ant-strong_mut-weak,3,0.125,9982
134,ant-weak_mut-absent,3,0.125,9982
135,ant-weak_mut-strong,1,0.041666667,9982
136,ant-weak_mut-weak,2,0.083333333,9982
137,ant-absent_mut-absent,5,0.208333333,9981
138,ant-strong_mut-absent,8,0.333333333,9981
139,ant-strong_mut-strong,2,0.083333333,9981
140,ant-strong_mut-weak,3,0.125,9981
141,ant-weak_mut-absent,5,0.208333333,9981
142,ant-weak_mut-weak,1,0.041666667,9981
143,ant-absent_mut-absent,2,0.083333333,9980
144,ant-absent_mut-strong,1,0.041666667,9980
145,ant-absent_mut-weak,1,0.041666667,9980
146,ant-strong_mut-absent,13,0.541666667,9980
147,ant-strong_mut-weak,2,0.083333333,9980
148,ant-weak_mut-absent,2,0.083333333,9980
149,ant-weak_mut-strong,1,0.041666667,9980
150,ant-weak_mut-weak,2,0.083333333,9980
151,ant-absent_mut-absent,2,0.083333333,9979
152,ant-absent_mut-weak,2,0.083333333,9979
153,ant-strong_mut-absent,11,0.458333333,9979
154,ant-strong_mut-strong,2,0.083333333,9979
155,ant-strong_mut-weak,2,0.083333333,9979
156,ant-weak_mut-absent,5,0.208333333,9979
157,ant-absent_mut-absent,4,0.166666667,9978
158,ant-strong_mut-absent,10,0.416666667,9978
159,ant-strong_mut-strong,2,0.083333333,9978
160,ant-strong_mut-weak,3,0.125,9978
161,ant-weak_mut-absent,4,0.166666667,9978
162,ant-weak_mut-weak,1,0.041666667,9978
163,ant-absent_mut-absent,2,0.083333333,9977
164,ant-absent_mut-strong,1,0.041666667,9977
165,ant-absent_mut-weak,1,0.041666667,9977
166,ant-strong_mut-absent,13,0.541666667,9977
167,ant-strong_mut-weak,2,0.083333333,9977
168,ant-weak_mut-absent,2,0.083333333,9977
169,ant-weak_mut-strong,1,0.041666667,9977
170,ant-weak_mut-weak,2,0.083333333,9977
171,ant-absent_mut-absent,2,0.083333333,9976
172,ant-absent_mut-strong,1,0.041666667,9976
173,ant-strong_mut-absent,9,0.375,9976
174,ant-strong_mut-strong,1,0.041666667,9976
175,ant-strong_mut-weak,4,0.166666667,9976
176,ant-weak_mut-absent,5,0.208333333,9976
177,ant-weak_mut-weak,2,0.083333333,9976
178,ant-absent_mut-absent,3,0.125,9975
179,ant-absent_mut-weak,2,0.083333333,9975
180,ant-strong_mut-absent,11,0.458333333,9975
181,ant-strong_mut-strong,2,0.083333333,9975
182,ant-strong_mut-weak,2,0.083333333,9975
183,ant-weak_mut-absent,2,0.083333333,9975
184,ant-weak_mut-weak,2,0.083333333,9975
185,ant-absent_mut-absent,4,0.166666667,9974
186,ant-strong_mut-absent,12,0.5,9974
187,ant-strong_mut-strong,2,0.083333333,9974
188,ant-strong_mut-weak,1,0.041666667,9974
189,ant-weak_mut-absent,3,0.125,9974
190,ant-weak_mut-weak,2,0.083333333,9974
191,ant-absent_mut-absent,1,0.041666667,9973
192,ant-absent_mut-weak,2,0.083333333,9973
193,ant-strong_mut-absent,12,0.5,9973
194,ant-strong_mut-strong,1,0.041666667,9973
195,ant-strong_mut-weak,3,0.125,9973
196,ant-weak_mut-absent,4,0.166666667,9973
197,ant-weak_mut-strong,1,0.041666667,9973
198,ant-absent_mut-absent,3,0.125,9972
199,ant-strong_mut-absent,8,0.333333333,9972
