"","combination","count","freq","iteration"
"92","ant-absent_mut-absent",14,0.304347826086957,"9987"
"93","ant-absent_mut-strong",10,0.217391304347826,"9987"
"94","ant-absent_mut-weak",8,0.173913043478261,"9987"
"95","ant-strong_mut-absent",4,0.0869565217391304,"9987"
"96","ant-strong_mut-strong",3,0.0652173913043478,"9987"
"97","ant-strong_mut-weak",6,0.130434782608696,"9987"
"98","ant-weak_mut-weak",1,0.0217391304347826,"9987"
"99","ant-absent_mut-absent",9,0.195652173913043,"9986"
"100","ant-absent_mut-strong",9,0.195652173913043,"9986"
"101","ant-absent_mut-weak",14,0.304347826086957,"9986"
"102","ant-strong_mut-absent",4,0.0869565217391304,"9986"
"103","ant-strong_mut-strong",4,0.0869565217391304,"9986"
"104","ant-strong_mut-weak",5,0.108695652173913,"9986"
"105","ant-weak_mut-weak",1,0.0217391304347826,"9986"
"106","ant-absent_mut-absent",13,0.282608695652174,"9985"
"107","ant-absent_mut-strong",9,0.195652173913043,"9985"
"108","ant-absent_mut-weak",9,0.195652173913043,"9985"
"109","ant-strong_mut-absent",3,0.0652173913043478,"9985"
"110","ant-strong_mut-strong",5,0.108695652173913,"9985"
"111","ant-strong_mut-weak",6,0.130434782608696,"9985"
"112","ant-weak_mut-strong",1,0.0217391304347826,"9985"
"113","ant-absent_mut-absent",9,0.195652173913043,"9984"
"114","ant-absent_mut-strong",10,0.217391304347826,"9984"
"115","ant-absent_mut-weak",12,0.260869565217391,"9984"
"116","ant-strong_mut-absent",7,0.152173913043478,"9984"
"117","ant-strong_mut-strong",2,0.0434782608695652,"9984"
"118","ant-strong_mut-weak",5,0.108695652173913,"9984"
"119","ant-weak_mut-weak",1,0.0217391304347826,"9984"
"120","ant-absent_mut-absent",8,0.173913043478261,"9983"
"121","ant-absent_mut-strong",14,0.304347826086957,"9983"
"122","ant-absent_mut-weak",10,0.217391304347826,"9983"
"123","ant-strong_mut-absent",7,0.152173913043478,"9983"
"124","ant-strong_mut-strong",1,0.0217391304347826,"9983"
"125","ant-strong_mut-weak",5,0.108695652173913,"9983"
"126","ant-weak_mut-weak",1,0.0217391304347826,"9983"
"127","ant-absent_mut-absent",12,0.260869565217391,"9982"
"128","ant-absent_mut-strong",8,0.173913043478261,"9982"
"129","ant-absent_mut-weak",11,0.239130434782609,"9982"
"130","ant-strong_mut-absent",5,0.108695652173913,"9982"
"131","ant-strong_mut-strong",3,0.0652173913043478,"9982"
"132","ant-strong_mut-weak",6,0.130434782608696,"9982"
"133","ant-weak_mut-absent",1,0.0217391304347826,"9982"
"134","ant-absent_mut-absent",10,0.217391304347826,"9981"
"135","ant-absent_mut-strong",9,0.195652173913043,"9981"
"136","ant-absent_mut-weak",12,0.260869565217391,"9981"
"137","ant-strong_mut-absent",5,0.108695652173913,"9981"
"138","ant-strong_mut-strong",4,0.0869565217391304,"9981"
"139","ant-strong_mut-weak",5,0.108695652173913,"9981"
"140","ant-weak_mut-weak",1,0.0217391304347826,"9981"
"141","ant-absent_mut-absent",11,0.239130434782609,"9980"
"142","ant-absent_mut-strong",12,0.260869565217391,"9980"
"143","ant-absent_mut-weak",9,0.195652173913043,"9980"
"144","ant-strong_mut-absent",6,0.130434782608696,"9980"
"145","ant-strong_mut-strong",2,0.0434782608695652,"9980"
"146","ant-strong_mut-weak",5,0.108695652173913,"9980"
"147","ant-weak_mut-absent",1,0.0217391304347826,"9980"
