"","Motif","count","freq","iteration"
"118","Mutualism_Antagonism",10,0.142857142857143,"9971"
"119","StrongW_Antagonism",26,0.371428571428571,"9971"
"120","StrongW_Mutualism",18,0.257142857142857,"9971"
"121","Absent",17,0.242857142857143,"9970"
"122","Mutualism_Antagonism",11,0.157142857142857,"9970"
"123","StrongW_Antagonism",23,0.328571428571429,"9970"
"124","StrongW_Mutualism",19,0.271428571428571,"9970"
"125","Absent",15,0.214285714285714,"9969"
"126","Mutualism_Antagonism",8,0.114285714285714,"9969"
"127","StrongW_Antagonism",26,0.371428571428571,"9969"
"128","StrongW_Mutualism",21,0.3,"9969"
"129","Absent",12,0.171428571428571,"9968"
"130","Mutualism_Antagonism",8,0.114285714285714,"9968"
"131","StrongW_Antagonism",27,0.385714285714286,"9968"
"132","StrongW_Mutualism",23,0.328571428571429,"9968"
"133","Absent",15,0.214285714285714,"9967"
"134","Mutualism_Antagonism",11,0.157142857142857,"9967"
"135","StrongW_Antagonism",22,0.314285714285714,"9967"
"136","StrongW_Mutualism",22,0.314285714285714,"9967"
"137","Absent",15,0.214285714285714,"9966"
"138","Mutualism_Antagonism",13,0.185714285714286,"9966"
"139","StrongW_Antagonism",22,0.314285714285714,"9966"
"140","StrongW_Mutualism",20,0.285714285714286,"9966"
"141","Absent",19,0.271428571428571,"9965"
"142","Mutualism_Antagonism",9,0.128571428571429,"9965"
"143","StrongW_Antagonism",27,0.385714285714286,"9965"
"144","StrongW_Mutualism",15,0.214285714285714,"9965"
"145","Absent",13,0.185714285714286,"9964"
"146","Mutualism_Antagonism",10,0.142857142857143,"9964"
"147","StrongW_Antagonism",27,0.385714285714286,"9964"
"148","StrongW_Mutualism",20,0.285714285714286,"9964"
"149","Absent",14,0.2,"9963"
"150","Mutualism_Antagonism",7,0.1,"9963"
"151","StrongW_Antagonism",27,0.385714285714286,"9963"
"152","StrongW_Mutualism",22,0.314285714285714,"9963"
"153","Absent",13,0.185714285714286,"9962"
"154","Mutualism_Antagonism",6,0.0857142857142857,"9962"
"155","StrongW_Antagonism",28,0.4,"9962"
"156","StrongW_Mutualism",23,0.328571428571429,"9962"
"157","Absent",16,0.228571428571429,"9961"
"158","Mutualism_Antagonism",11,0.157142857142857,"9961"
"159","StrongW_Antagonism",27,0.385714285714286,"9961"
"160","StrongW_Mutualism",16,0.228571428571429,"9961"
"161","Absent",13,0.185714285714286,"9960"
"162","Mutualism_Antagonism",9,0.128571428571429,"9960"
"163","StrongW_Antagonism",27,0.385714285714286,"9960"
"164","StrongW_Mutualism",21,0.3,"9960"
"165","Absent",15,0.214285714285714,"9959"
"166","Mutualism_Antagonism",8,0.114285714285714,"9959"
"167","StrongW_Antagonism",28,0.4,"9959"
"168","StrongW_Mutualism",19,0.271428571428571,"9959"
"169","Absent",16,0.228571428571429,"9958"
"170","Mutualism_Antagonism",11,0.157142857142857,"9958"
"171","StrongW_Antagonism",25,0.357142857142857,"9958"
"172","StrongW_Mutualism",18,0.257142857142857,"9958"
"173","Absent",15,0.214285714285714,"9957"
"174","Mutualism_Antagonism",7,0.1,"9957"
"175","StrongW_Antagonism",29,0.414285714285714,"9957"
"176","StrongW_Mutualism",19,0.271428571428571,"9957"
"177","Absent",18,0.257142857142857,"9956"
