"","iteration","Absent","Mutualism_Antagonism","StrongW_Antagonism","StrongW_Mutualism"
"228","1201",13,12,25,20
"229","1202",16,10,24,20
"230","1203",16,8,27,19
"231","1204",17,14,21,18
"232","1205",16,12,24,18
"233","1206",12,10,25,23
"234","1207",15,9,26,20
"235","1208",17,12,24,17
"236","1209",14,8,27,21
"237","121",11,10,28,21
"238","1210",16,13,23,18
"239","1211",13,10,26,21
"240","1212",16,9,25,20
"241","1213",12,7,26,25
"242","1214",15,9,25,21
"243","1215",12,9,27,22
"244","1216",15,10,25,20
"245","1217",16,8,26,20
"246","1218",15,5,30,20
"247","1219",17,12,23,18
"248","122",11,6,28,25
"249","1220",12,9,28,21
"250","1221",15,9,27,19
"251","1222",17,8,26,19
"252","1223",17,13,22,18
"253","1224",13,14,23,20
"254","1225",12,7,31,20
"255","1226",14,4,28,24
"256","1227",18,13,24,15
"257","1228",13,7,25,25
"258","1229",12,9,27,22
"259","123",14,8,28,20
"260","1230",16,7,26,21
"261","1231",12,8,26,24
"262","1232",12,11,28,19
"263","1233",11,4,29,26
"264","1234",16,11,26,17
"265","1235",16,10,24,20
"266","1236",14,15,25,16
"267","1237",12,3,33,22
"268","1238",13,16,21,20
"269","1239",14,8,28,20
"270","124",10,8,28,24
"271","1240",12,12,23,23
"272","1241",16,8,25,21
"273","1242",12,10,28,20
"274","1243",17,14,21,18
"275","1244",16,7,25,22
"276","1245",15,13,23,19
"277","1246",17,7,28,18
"278","1247",14,8,28,20
"279","1248",15,10,25,20
"280","1249",18,5,26,21
"281","125",15,7,27,21
"282","1250",13,9,27,21
"283","1251",13,7,26,24
"284","1252",11,7,27,25
"285","1253",13,9,28,20
"286","1254",13,9,28,20
"287","1255",14,15,23,18
"288","1256",14,6,26,24
"289","1257",14,8,27,21
"290","1258",17,12,24,17
"291","1259",14,8,26,22
"292","126",14,13,25,18
"293","1260",16,13,23,18
"294","1261",20,8,24,18
"295","1262",14,11,26,19
"296","1263",11,4,31,24
"297","1264",13,8,27,22
"298","1265",14,8,28,20
"299","1266",16,12,25,17
"300","1267",15,10,23,22
"301","1268",17,7,26,20
"302","1269",17,12,26,15
"303","127",17,8,25,20
"304","1270",15,10,28,17
"305","1271",16,10,24,20
"306","1272",14,10,25,21
"307","1273",17,14,22,17
"308","1274",15,12,23,20
"309","1275",16,12,24,18
"310","1276",10,10,28,22
"311","1277",17,11,23,19
"312","1278",14,6,29,21
"313","1279",11,12,28,19
"314","128",17,9,21,23
"315","1280",12,10,25,23
"316","1281",16,11,21,22
"317","1282",10,6,31,23
"318","1283",16,11,23,20
"319","1284",19,9,26,16
"320","1285",14,14,23,19
"321","1286",14,10,24,22
"322","1287",15,7,28,20
"323","1288",19,12,23,16
"324","1289",14,9,27,20
"325","129",17,10,24,19
"326","1290",19,12,24,15
"327","1291",15,13,23,19
"328","1292",16,10,25,19
"329","1293",12,9,26,23
"330","1294",12,9,27,22
"331","1295",12,5,26,27
"332","1296",18,8,27,17
"333","1297",16,11,25,18
"334","1298",16,13,24,17
"335","1299",13,6,28,23
"336","13",13,9,30,18
"337","130",11,10,25,24
"338","1300",16,9,28,17
"339","1301",16,11,25,18
"340","1302",14,7,28,21
"341","1303",15,8,26,21
"342","1304",12,6,30,22
"343","1305",10,9,28,23
"344","1306",15,9,25,21
"345","1307",15,11,26,18
"346","1308",14,10,27,19
"347","1309",14,12,23,21
"348","131",14,8,26,22
"349","1310",19,11,25,15
"350","1311",15,9,26,20
"351","1312",11,9,29,21
"352","1313",15,8,26,21
"353","1314",19,11,25,15
"354","1315",20,7,25,18
"355","1316",20,8,26,16
"356","1317",15,7,26,22
"357","1318",13,4,31,22
"358","1319",14,6,29,21
"359","132",13,7,27,23
"360","1320",11,6,27,26
"361","1321",18,8,26,18
"362","1322",15,6,30,19
"363","1323",14,8,29,19
"364","1324",15,11,26,18
"365","1325",13,7,28,22
"366","1326",17,9,24,20
"367","1327",16,7,27,20
"368","1328",11,11,25,23
"369","1329",14,9,25,22
"370","133",13,8,27,22
"371","1330",11,6,29,24
"372","1331",14,8,26,22
"373","1332",16,12,25,17
"374","1333",14,10,24,22
"375","1334",16,13,21,20
"376","1335",14,11,24,21
"377","1336",17,11,24,18
"378","1337",16,7,28,19
"379","1338",12,7,29,22
"380","1339",11,11,26,22
"381","134",17,12,24,17
"382","1340",17,11,23,19
"383","1341",14,9,24,23
"384","1342",11,8,26,25
"385","1343",19,9,25,17
"386","1344",12,13,24,21
"387","1345",20,8,23,19
"388","1346",13,8,27,22
"389","1347",18,11,24,17
"390","1348",16,11,24,19
"391","1349",13,5,29,23
"392","135",15,11,26,18
"393","1350",15,10,28,17
"394","1351",18,10,24,18
"395","1352",20,11,26,13
"396","1353",12,12,26,20
"397","1354",11,7,28,24
"398","1355",12,5,26,27
"399","1356",15,14,22,19
"400","1357",17,14,22,17
"401","1358",14,9,27,20
"402","1359",16,10,25,19
"403","136",18,10,23,19
"404","1360",14,8,26,22
"405","1361",16,9,27,18
"406","1362",16,14,22,18
"407","1363",17,4,29,20
"408","1364",14,7,29,20
"409","1365",17,11,24,18
"410","1366",20,9,24,17
"411","1367",14,8,25,23
"412","1368",12,7,29,22
"413","1369",15,9,26,20
"414","137",14,11,24,21
"415","1370",17,8,25,20
"416","1371",15,11,23,21
"417","1372",15,5,29,21
"418","1373",16,5,28,21
"419","1374",14,9,28,19
"420","1375",15,10,24,21
"421","1376",15,11,27,17
"422","1377",14,10,26,20
"423","1378",13,5,29,23
"424","1379",15,12,25,18
"425","138",15,8,26,21
"426","1380",16,8,28,18
"427","1381",14,9,26,21
"428","1382",14,9,28,19
"429","1383",15,11,24,20
"430","1384",22,13,20,15
"431","1385",14,7,27,22
"432","1386",12,8,28,22
"433","1387",16,11,23,20
"434","1388",17,10,25,18
"435","1389",14,6,28,22
"436","139",15,7,26,22
"437","1390",11,7,26,26
"438","1391",13,5,28,24
"439","1392",12,4,29,25
"440","1393",19,14,22,15
"441","1394",16,7,25,22
"442","1395",15,10,27,18
"443","1396",16,10,26,18
"444","1397",12,5,26,27
"445","1398",10,4,31,25
"446","1399",14,8,26,22
"447","14",16,5,27,22
"448","140",16,14,23,17
"449","1400",17,6,28,19
"450","1401",18,8,25,19
"451","1402",18,9,25,18
"452","1403",13,9,27,21
"453","1404",13,11,26,20
"454","1405",15,13,23,19
"455","1406",17,9,27,17
"456","1407",12,8,27,23
"457","1408",15,10,25,20
"458","1409",15,7,29,19
"459","141",18,11,23,18
"460","1410",14,8,25,23
"461","1411",17,8,28,17
"462","1412",18,10,25,17
"463","1413",12,9,27,22
"464","1414",15,9,26,20
"465","1415",14,8,30,18
"466","1416",17,7,26,20
"467","1417",14,9,26,21
"468","1418",13,15,23,19
"469","1419",14,11,25,20
"470","142",14,10,27,19
"471","1420",15,7,28,20
"472","1421",20,10,26,14
"473","1422",13,8,29,20
"474","1423",18,12,26,14
"475","1424",12,7,30,21
"476","1425",14,9,26,21
"477","1426",14,4,29,23
"478","1427",15,12,27,16
"479","1428",16,9,25,20
"480","1429",12,12,24,22
"481","143",15,9,26,20
"482","1430",19,10,23,18
"483","1431",14,8,28,20
"484","1432",16,11,24,19
"485","1433",14,8,25,23
"486","1434",11,7,28,24
"487","1435",16,11,25,18
"488","1436",14,10,27,19
"489","1437",17,10,24,19
"490","1438",11,11,28,20
"491","1439",16,11,28,15
"492","144",14,7,26,23
"493","1440",16,10,24,20
"494","1441",15,8,25,22
"495","1442",19,12,22,17
"496","1443",17,11,23,19
"497","1444",17,7,24,22
"498","1445",14,14,22,20
"499","1446",17,11,23,19
"500","1447",17,10,26,17
"501","1448",15,9,26,20
"502","1449",15,8,29,18
"503","145",15,9,27,19
"504","1450",13,8,27,22
"505","1451",17,8,27,18
"506","1452",20,12,22,16
"507","1453",12,10,27,21
"508","1454",19,14,19,18
"509","1455",12,11,28,19
"510","1456",17,6,29,18
"511","1457",16,10,26,18
"512","1458",17,11,23,19
"513","1459",11,5,28,26
"514","146",13,6,31,20
"515","1460",15,6,28,21
"516","1461",17,6,28,19
"517","1462",14,9,26,21
"518","1463",14,6,29,21
"519","1464",16,10,22,22
"520","1465",15,8,25,22
"521","1466",14,8,25,23
"522","1467",13,9,26,22
"523","1468",15,11,23,21
"524","1469",16,8,27,19
"525","147",17,12,23,18
"526","1470",13,8,26,23
"527","1471",14,8,27,21
"528","1472",12,6,29,23
"529","1473",17,5,30,18
"530","1474",17,7,29,17
"531","1475",16,11,25,18
"532","1476",13,6,30,21
"533","1477",18,10,24,18
"534","1478",12,8,25,25
"535","1479",13,7,26,24
"536","148",19,11,25,15
"537","1480",16,12,27,15
"538","1481",15,10,26,19
"539","1482",18,11,23,18
"540","1483",12,11,23,24
"541","1484",15,10,26,19
"542","1485",19,8,26,17
"543","1486",15,9,26,20
"544","1487",11,10,28,21
"545","1488",14,8,26,22
"546","1489",16,9,24,21
"547","149",17,9,26,18
"548","1490",15,9,26,20
"549","1491",13,8,28,21
"550","1492",14,12,25,19
"551","1493",17,14,21,18
"552","1494",14,8,26,22
"553","1495",14,10,27,19
"554","1496",15,7,26,22
"555","1497",18,10,22,20
"556","1498",12,7,29,22
"557","1499",18,8,25,19
"558","15",16,10,26,18
"559","150",10,7,30,23
"560","1500",19,11,22,18
"561","1501",18,11,26,15
"562","1502",13,12,27,18
"563","1503",18,8,25,19
"564","1504",15,9,27,19
"565","1505",16,10,25,19
"566","1506",15,8,29,18
"567","1507",16,12,24,18
"568","1508",14,8,25,23
"569","1509",13,4,33,20
"570","151",16,8,25,21
"571","1510",17,7,26,20
"572","1511",18,11,25,16
"573","1512",10,8,28,24
"574","1513",16,5,27,22
"575","1514",18,7,25,20
"576","1515",16,10,27,17
"577","1516",16,7,29,18
"578","1517",16,7,28,19
"579","1518",17,13,23,17
"580","1519",18,10,26,16
"581","152",15,5,28,22
"582","1520",15,10,26,19
"583","1521",19,7,26,18
"584","1522",20,9,27,14
"585","1523",13,6,30,21
"586","1524",18,11,23,18
"587","1525",16,10,23,21
"588","1526",13,8,27,22
"589","1527",10,13,24,23
"590","1528",16,6,28,20
"591","1529",18,9,24,19
"592","153",18,9,24,19
"593","1530",15,8,25,22
"594","1531",13,6,29,22
"595","1532",17,13,23,17
"596","1533",15,11,25,19
"597","1534",11,7,31,21
"598","1535",13,9,29,19
"599","1536",15,10,27,18
"600","1537",14,9,27,20
"601","1538",16,8,28,18
"602","1539",13,11,25,21
"603","154",11,8,26,25
"604","1540",16,14,23,17
"605","1541",14,10,28,18
"606","1542",21,13,19,17
"607","1543",14,8,29,19
"608","1544",13,11,25,21
"609","1545",17,8,26,19
"610","1546",17,8,25,20
"611","1547",11,8,30,21
"612","1548",16,8,27,19
"613","1549",9,8,28,25
"614","155",12,11,28,19
"615","1550",12,5,34,19
"616","1551",14,9,25,22
"617","1552",16,10,27,17
"618","1553",9,12,25,24
"619","1554",19,11,26,14
"620","1555",15,12,23,20
"621","1556",18,11,24,17
"622","1557",12,9,25,24
"623","1558",14,6,28,22
"624","1559",14,7,31,18
"625","156",16,12,24,18
"626","1560",11,6,30,23
"627","1561",16,6,29,19
"628","1562",16,13,24,17
"629","1563",15,7,25,23
"630","1564",17,9,27,17
"631","1565",17,8,27,18
"632","1566",17,6,26,21
"633","1567",16,13,23,18
"634","1568",13,7,27,23
"635","1569",19,10,26,15
"636","157",14,8,26,22
"637","1570",15,10,24,21
"638","1571",13,8,29,20
"639","1572",16,7,24,23
"640","1573",18,6,28,18
"641","1574",12,8,29,21
"642","1575",20,11,23,16
"643","1576",16,9,24,21
"644","1577",14,7,28,21
"645","1578",12,7,27,24
"646","1579",15,12,25,18
"647","158",19,5,27,19
"648","1580",13,9,26,22
"649","1581",14,7,24,25
"650","1582",16,6,29,19
"651","1583",13,9,25,23
"652","1584",18,8,24,20
"653","1585",19,13,21,17
"654","1586",18,15,21,16
"655","1587",16,12,24,18
"656","1588",17,12,23,18
"657","1589",8,7,31,24
"658","159",12,7,30,21
"659","1590",13,8,29,20
"660","1591",12,9,28,21
"661","1592",13,11,25,21
"662","1593",24,12,21,13
"663","1594",15,9,24,22
"664","1595",20,12,23,15
"665","1596",13,10,24,23
"666","1597",15,8,27,20
"667","1598",13,16,23,18
"668","1599",17,11,25,17
"669","16",12,4,31,23
"670","160",13,11,25,21
"671","1600",18,11,25,16
"672","1601",13,6,28,23
"673","1602",16,11,25,18
"674","1603",16,13,24,17
"675","1604",15,11,25,19
"676","1605",17,11,25,17
"677","1606",16,9,23,22
"678","1607",17,7,27,19
"679","1608",16,12,25,17
"680","1609",19,8,27,16
"681","161",16,9,25,20
"682","1610",19,17,20,14
"683","1611",13,10,26,21
"684","1612",15,11,29,15
"685","1613",17,8,26,19
"686","1614",16,11,24,19
"687","1615",17,12,24,17
"688","1616",14,7,28,21
"689","1617",15,9,26,20
"690","1618",15,10,27,18
"691","1619",19,8,25,18
"692","162",18,11,23,18
"693","1620",15,13,25,17
"694","1621",17,9,26,18
"695","1622",16,7,27,20
"696","1623",17,8,26,19
"697","1624",16,11,24,19
"698","1625",17,9,25,19
"699","1626",11,8,25,26
"700","1627",15,9,23,23
"701","1628",17,6,25,22
"702","1629",16,15,20,19
"703","163",16,11,25,18
"704","1630",18,17,21,14
"705","1631",19,11,21,19
"706","1632",17,14,23,16
"707","1633",14,4,29,23
"708","1634",12,8,29,21
"709","1635",19,8,23,20
"710","1636",13,11,25,21
"711","1637",13,8,29,20
"712","1638",14,9,26,21
"713","1639",20,11,23,16
"714","164",18,12,24,16
"715","1640",17,12,22,19
"716","1641",15,13,25,17
"717","1642",18,7,25,20
"718","1643",11,5,29,25
"719","1644",16,6,25,23
"720","1645",16,5,28,21
"721","1646",17,8,24,21
"722","1647",15,12,25,18
"723","1648",13,8,26,23
"724","1649",10,7,29,24
"725","165",14,6,28,22
"726","1650",16,14,22,18
"727","1651",17,13,21,19
"728","1652",14,11,26,19
"729","1653",18,6,27,19
"730","1654",16,8,26,20
"731","1655",17,9,24,20
"732","1656",12,12,26,20
"733","1657",15,9,26,20
"734","1658",15,10,26,19
"735","1659",15,10,24,21
"736","166",21,15,22,12
"737","1660",17,11,26,16
"738","1661",16,10,26,18
"739","1662",13,9,27,21
"740","1663",14,10,27,19
"741","1664",17,7,29,17
"742","1665",14,9,27,20
"743","1666",14,11,25,20
"744","1667",19,16,20,15
"745","1668",13,14,26,17
"746","1669",17,9,23,21
"747","167",18,8,24,20
"748","1670",15,11,22,22
"749","1671",15,4,29,22
"750","1672",18,9,24,19
"751","1673",13,11,25,21
"752","1674",18,13,22,17
"753","1675",13,11,26,20
"754","1676",13,7,26,24
"755","1677",12,12,25,21
"756","1678",14,8,27,21
"757","1679",17,11,24,18
"758","168",12,9,25,24
