plant,deer,wildboar,rabbit,rat,fox,badger,combination,motif,inf_s,size_s,sincr_s,fruits_s,fruit_set_s,del.area_s,nn_s,dens_s,pop,inf,size,sincr,fruits,fruit_set,exit_pol,del.area,nn,dens,norm_d,spp_str,spp_spcfty,nsi,eff_part
EM062B,0.04,0,0,0.04,0,0,ant-weak_mut-weak,Mutualist-Antagonist,-0.756133186,-0.889678316,0.281109312,2.544663637,-0.360701922,-0.550223801,-0.130719431,-0.119120716,Matasgordas,8,2.4504402,0.682108626,330,2640,0.151,175.399,10.56,4,0.333,0.030,0.633,1.233,2.000
EM066H,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.692541689,-0.899275984,0.281109312,0.121500877,-0.563140626,-0.586289832,-0.487545564,-0.397069054,Matasgordas,11,2.40331635,0.682108626,128,1408,0.094,102.21,6.56,3,0.000,0.000,0.000,0.000,0.000
EM083H,0,0,0,0.44,0,0,ant-absent_mut-strong,Mutualist,-0.33218987,-0.428990254,0.281109312,-1.294010042,-0.748490349,-0.628104134,-0.946245559,-0.397069054,Matasgordas,28,4.712385,0.682108626,10,280,0.209,17.356,1.418,3,0.167,0.139,1.000,1.533,1.000
EM090H,0,0,0,0.93,0,0,ant-absent_mut-strong,Mutualist,-0.84092185,-1.283182703,0.281109312,-0.298354057,-0.733373173,0.050505319,-0.737680684,-0.397069054,Matasgordas,4,0.51836235,0.682108626,93,372,0.17,1394.462,3.756,3,0.167,0.296,1.000,1.533,1.000
EM097H,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.777330352,0.130873711,0.281109312,-0.358333333,-0.693279793,2.347444663,1.166521977,-0.952965729,Matasgordas,7,7.46127625,0.682108626,88,616,0.133,6055.654,25.102,1,0.000,0.000,0.000,0.000,0.000
EM117H,0.04,0,0,0,0,0,ant-weak_mut-absent,Antagonist,-0.353387036,-0.985654996,-1.390943286,2.652626334,0.709495547,0.926177742,1.166521977,-0.952965729,Matasgordas,27,1.9792017,0.512779553,339,9153,0.167,3171.469,25.102,1,0.167,0.017,1.000,1.567,1.000
EM123H,0.03,0,0,0.1,0,0,ant-weak_mut-weak,Mutualist-Antagonist,-0.756133186,-0.395398416,0.281109312,0.781272915,-0.553938867,2.266099106,1.964652831,-0.952965729,Matasgordas,8,4.877318475,0.682108626,183,1464,0.012,5890.579,34.049,1,0.333,0.045,0.734,1.233,1.772
EM128,0.05,0,0,0.13,0,0.09,ant-weak_mut-strong,Mutualist-Antagonist,-0.544161528,-0.136261381,-3.078769975,1.704953769,-0.025494976,3.220854736,-0.834380566,0.714724296,Matasgordas,18,6.149662425,0.341853035,260,4680,0.121,7828.07,2.672,7,0.500,0.153,0.500,1.200,2.808
EM133,0.54,0,0,0.19,0,0,ant-strong_mut-strong,Mutualist-Antagonist,1.575555053,-0.213042725,-3.078769975,1.537011796,3.975298509,-0.484448101,-0.914220413,2.104465984,Matasgordas,118,5.772671625,0.341853035,246,29028,0.348,308.878,1.777,12,0.333,0.278,0.732,1.233,1.778
EM136,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.480570031,-0.307419793,0.281109312,0.793268771,-0.159577755,-0.607036337,-0.148471531,-0.675017391,Matasgordas,21,5.3092871,0.682108626,184,3864,0,60.109,10.361,2,0.000,0.000,0.000,0.000,0.000
EM138,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.713738855,-0.416193363,0.281109312,0.505368245,-0.531591737,-0.622356356,-0.885585116,1.548569309,Matasgordas,10,4.7752168,0.682108626,160,1600,0.324,29.02,2.098,10,0.000,0.000,0.000,0.000,0.000
EM142,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.650147357,-0.963260437,0.281109312,-0.598250438,-0.649242803,-0.328341012,-0.818501803,1.826517646,Matasgordas,13,2.08915735,0.682108626,68,884,0,625.667,2.85,11,0.000,0.000,0.000,0.000,0.000
EM155,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,2.211470028,0.906685206,-3.433686801,0.181480153,2.439919244,0.93928321,-0.47273728,-0.397069054,Matasgordas,148,11.27045413,0.305910543,133,19684,0,3198.064,6.726,3,0.000,0.000,0.000,0.000,0.000
EM160,0.03,0,0.08,0,0,0,ant-weak_mut-weak,Mutualist-Antagonist,0.07055628,-0.395398416,0.281109312,-0.106420373,0.047297512,4.723481013,-0.513147839,-0.675017391,Matasgordas,47,4.877318475,0.682108626,109,5123,0.311,10877.358,6.273,2,0.333,0.027,0.742,1.133,1.755
EM163,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.777330352,0.335623961,0.233787071,0.169484298,-0.642670117,-0.426572641,-0.382906301,0.436775959,Matasgordas,7,8.46658505,0.677316294,132,924,0.593,426.325,7.733,6,0.000,0.000,0.000,0.000,0.000
EM171,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.501767197,-0.979256551,-3.433686801,0.889235612,-0.163521366,-0.541517375,-0.270506069,0.714724296,Matasgordas,20,2.0106176,0.305910543,192,3840,0.137,193.067,8.993,7,0.000,0.000,0.000,0.000,0.000
EM190,0,0.02,0.59,0.17,0,0,ant-weak_mut-strong,Mutualist-Antagonist,-0.099021046,-0.237036895,0.281109312,0.325430416,0.134714225,-0.574240883,-0.270506069,0.992672634,Matasgordas,39,5.654862,0.682108626,145,5655,0.31,126.661,8.993,8,0.500,0.592,0.740,1.167,1.890
EM193,0.06,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.17654211,0.338823183,0.281109312,1.75293719,1.461246417,-0.076026138,0.956172972,-0.952965729,Matasgordas,52,8.482293,0.682108626,264,13728,0.176,1137.691,22.744,1,0.167,0.022,1.000,1.567,1.000
EM199,0,0,0.14,0.08,0,0.28,ant-absent_mut-strong,Mutualist,-0.84092185,0.079686148,2.662995572,1.009194165,-0.661730904,0.973387486,0.621559265,-0.952965729,Matasgordas,4,7.20994905,0.923322684,202,808,0.267,3267.272,18.993,1,0.500,0.340,0.544,1.100,2.667
EM227,0.02,0,0.03,0,0,0,ant-weak_mut-weak,Mutualist-Antagonist,-0.713738855,-0.388999971,0.281109312,-0.790184122,-0.709054238,0.926533036,-0.286652451,-0.675017391,Matasgordas,10,4.908734375,0.682108626,52,520,0.21,3172.19,8.812,2,0.333,0.014,0.642,1.133,1.980
EM234,0,0,0.09,0,0,0,ant-absent_mut-weak,Mutualist,-0.247401207,-0.668931953,-0.544400935,0.781272915,0.167741969,-0.599142997,-0.936254427,1.270620971,Matasgordas,32,3.53428875,0.598509052,183,5856,0.206,76.127,1.53,9,0.167,0.017,1.000,1.433,1.000
EM236,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.607753026,-1.028844502,0.281109312,-0.094424518,-0.523375881,-0.602589989,-0.81190052,2.104465984,Matasgordas,15,1.767144375,0.682108626,110,1650,0,69.132,2.924,12,0.000,0.000,0.000,0.000,0.000
EM240,0.21,0,0,0,0,0.44,ant-strong_mut-strong,Mutualist-Antagonist,0.897245747,0.556370324,0.281109312,2.184787979,3.444882813,-0.634506324,-0.900304194,0.992672634,Matasgordas,86,9.5504336,0.682108626,300,25800,0.044,4.364,1.933,8,0.333,0.537,0.690,1.500,1.875
EM270,0,0,0,0,0,0,ant-absent_mut-absent,No_Interaction,-0.73493602,-0.92686928,0.281109312,1.429049099,-0.444010707,-0.616792383,-1.016897133,1.548569309,Matasgordas,9,2.267835281,0.682108626,237,2133,0,40.311,0.626,10,0.000,0.000,0.000,0.000,0.000
EM291H,0,0.03,1.13,0.06,0,0,ant-weak_mut-strong,Mutualist-Antagonist,-0.099021046,-0.784103969,0.281109312,-0.562262872,-0.339505012,-0.623158108,-0.36800881,0.992672634,Matasgordas,39,2.96880255,0.682108626,71,2769,0,27.393,7.9,8,0.500,0.800,0.917,1.167,1.346
EM293,0,0,0,0.09,0,0,ant-absent_mut-weak,Mutualist,-0.798527518,-1.097627789,0.281109312,-0.850163398,-0.748161715,-0.592586074,-0.576752098,-0.119120716,Matasgordas,6,1.42942345,0.682108626,47,282,0,89.433,5.56,4,0.167,0.027,1.000,1.533,1.000
EM297H,0.27,0,1.25,0,0,0,ant-strong_mut-strong,Mutualist-Antagonist,-0.310992704,-0.864084535,0.281109312,0.505368245,-0.032067662,-0.393927977,-0.350613536,-0.397069054,Matasgordas,29,2.5761038,0.682108626,160,4640,0,492.571,8.095,3,0.333,0.343,0.805,1.133,1.598
EM298H,0.17,0,1.25,0.32,0.01,0,ant-strong_mut-strong,Mutualist-Antagonist,0.918442913,-0.093071875,-0.544400935,1.093165152,2.193279232,-0.552101291,-0.760695969,0.992672634,Matasgordas,87,6.36171975,0.598509052,209,18183,0.225,171.589,3.498,8,0.667,0.901,0.682,1.000,2.250
EM300H,0,0,0.08,0.38,0.01,0,ant-absent_mut-strong,Mutualist,-0.544161528,-0.198646223,0.281109312,-0.238374781,-0.504643728,-0.515587324,-0.268900351,-0.397069054,Matasgordas,18,5.8433574,0.682108626,98,1764,0,245.687,9.011,3,0.500,0.634,0.771,1.167,1.809
ER002H,0.01,0.01,0,0,0,0,ant-weak_mut-absent,Antagonist,-0.671344523,-1.030444113,0.361179918,-1.1980432,-0.759006645,-0.502248278,-0.920197251,-0.119120716,Martinazo,12,1.7592904,0.690217391,18,216,0.013,272.756,1.71,4,0.333,0.009,0.632,1.087,2.000
ER007H,0.06,0.01,0.03,0,0,0,ant-strong_mut-weak,Mutualist-Antagonist,-0.226204041,0.050982127,0.361179918,-0.982117806,-0.599290395,0.036471947,0.68730448,-0.952965729,Martinazo,33,7.0690144,0.690217391,36,1188,0.106,1365.984,19.73,1,0.500,0.017,0.582,1.087,2.529
ER028H,0.12,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.515696763,0.025299363,0.361179918,-0.754196556,-0.179953079,-0.258729024,0.226285116,-0.675017391,Martinazo,68,6.9429139,0.690217391,55,3740,0.217,766.931,14.562,2,0.167,0.004,1.000,1.130,1.000
ER033H,0.23,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.558091094,1.853270212,0.361179918,-0.982117806,-0.380419978,-0.513586639,0.048764114,-0.397069054,Martinazo,70,15.9181175,0.690217391,36,2520,0.079,249.747,12.572,3,0.167,0.007,1.000,1.130,1.000
ER036H,7.83,0.04,0.01,0,0,0.07,ant-strong_mut-weak,Mutualist-Antagonist,-0.692541689,1.628109914,0.361179918,-0.19039136,-0.610135326,-0.41006256,-0.372825962,-0.675017391,Martinazo,11,14.81259685,0.690217391,102,1122,0,459.829,7.846,2,0.667,0.348,0.982,1.000,1.094
ER037H,0,0.15,0,0,0,0,ant-strong_mut-absent,Antagonist,5.348650569,3.670873595,-0.050260692,-0.958126095,1.053739934,-0.123616307,0.193100285,-0.675017391,Martinazo,296,24.8424176,0.648550725,38,11248,0.049,1041.116,14.19,2,0.167,0.096,1.000,1.652,1.000
ER044H,0.15,0.35,0,0,0,0,ant-strong_mut-absent,Antagonist,0.473302431,1.136259439,0.361179918,-0.92213853,-0.349856991,-0.56566258,-0.929207111,-0.119120716,Martinazo,66,12.39764688,0.690217391,41,2706,0.019,144.069,1.609,4,0.333,0.223,0.707,1.087,1.835
ER045H,0.62,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.006964783,0.846729788,0.361179918,-0.382325044,-0.172723125,-0.553173579,-0.353200525,0.992672634,Martinazo,44,10.9760774,0.690217391,86,3784,0,169.413,8.066,8,0.167,0.020,1.000,1.130,1.000
ER047H,0.06,0.1,0,0,0,0,ant-strong_mut-absent,Antagonist,0.536893928,1.136644337,-0.050260692,-1.090080503,-0.488376332,-0.629201554,-0.967119888,3.216259334,Martinazo,69,12.3995367,0.648550725,27,1863,0,15.129,1.184,16,0.333,0.063,0.667,1.087,1.926
ER050H,0.03,0.06,0,0,0,0,ant-strong_mut-absent,Antagonist,0.134147778,0.661174874,0.361179918,-0.886150964,-0.433001459,-0.576883659,-1.071848358,2.938310996,Martinazo,50,10.0650163,0.690217391,44,2200,0,121.298,0.01,15,0.333,0.036,0.683,1.087,1.890
ER052X,0.19,0.63,0.07,0,0,0,ant-strong_mut-weak,Mutualist-Antagonist,0.515696763,2.214012574,0.361179918,-1.234030766,-0.626895673,-0.564253723,-1.071848358,1.548569309,Martinazo,68,17.6893362,0.690217391,15,1020,0.282,146.928,0.01,10,0.500,0.414,0.681,1.087,2.167
ER053H,0.06,0,0,0,0,0,ant-strong_mut-absent,Antagonist,0.218936441,1.232621017,-0.050260692,-0.766192412,-0.315350394,-0.582626017,-0.567206999,-0.119120716,Martinazo,54,12.8707752,0.648550725,54,2916,0.667,109.645,5.667,4,0.167,0.002,1.000,1.130,1.000
ER061H,0,0,0,0,0,0.01,ant-absent_mut-weak,Mutualist,-0.628950191,-0.006692863,-0.050260692,-1.258022477,-0.764593428,-0.020678635,-0.200924973,-0.675017391,Martinazo,14,6.7858344,0.648550725,13,182,0.159,1250.008,9.773,2,0.167,0.013,1.000,1.826,1.000
ER067H,1.83,0,0,0,0.06,0.27,ant-strong_mut-strong,Mutualist-Antagonist,-0.416978533,0.108479152,0.361179918,-1.090080503,-0.688021645,-0.437629132,-0.237321238,0.158827621,Martinazo,24,7.3513206,0.690217391,27,648,0.158,403.888,9.365,5,0.500,0.654,0.827,1.043,1.638
