no,plant,deer,wildboar,rabbit,rat,fox,badger,deer_i,wildboar_i,rabbit_i,rat_i,fox_i,badger_i,antagonist,poor_mutual,mutualist,antagonist_i,poor_mutual_i,mutualist_i,Motifs,pop,x,y,del_area,nn,dens
11,EM009,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193926.4343,4113718.634,1137.691432,22.74413738,1
12,EM013,0,0,0.097,0,0,0,Absent,Absent,Weak,Absent,Absent,Absent,0,0.097,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193878.7818,4113752.103,3267.27234,18.99287293,1
13,EM028,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193869.8834,4113690.758,3172.190438,8.812394354,2
14,EM031,0,0,0.056,0.167,0,0,Absent,Absent,Weak,Strong,Absent,Absent,0,0.223,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193732.3852,4113718.233,76.126967,1.529673481,9
15,EM044,0,0,0,0.056,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.056,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193700.4829,4113736.589,69.131979,2.924166623,12
16,EM054,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193693.1808,4113706.85,4.363667,1.932627613,8
17,EM060,0,0,0.104,0.056,0,0,Absent,Absent,Weak,Weak,Absent,Absent,0,0.16,0,Absent,Weak,Absent,weak_mutual,Matasgordas,193723.5034,4113715.57,40.310787,0.62554569,10
18,EM062B,0.042,0,0,0.042,0,0,Weak,Absent,Absent,Weak,Absent,Absent,0.042,0.042,0,Weak,Weak,Absent,weak_mutual,Matasgordas,193731.7088,4113716.861,27.392887,7.899559968,8
19,EM066H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193842.1432,4113649.353,89.433325,5.559834202,4
20,EM083H,0,0,0,0.667,0,0,Absent,Absent,Absent,Strong,Absent,Absent,0,0.667,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193926.2207,4113617.281,492.571297,8.094937221,3
21,EM090H,0,0,0,0.944,0,0,Absent,Absent,Absent,Strong,Absent,Absent,0,0.944,0,Absent,Strong,Absent,weak_mutual,Matasgordas,193962.7853,4113605.287,171.588552,3.498146858,8
22,EM097H,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,193975.3456,4113581.198,245.686635,9.011075685,3
23,EM117H,0.028,0,0,0,0,0,Weak,Absent,Absent,Absent,Absent,Absent,0.028,0,0,Weak,Absent,Absent,weak_anta,Matasgordas,194030.8233,4113553.854,272.755624,1.710147654,4
24,EM123H,0.035,0,0,0.25,0,0,Weak,Absent,Absent,Strong,Absent,Absent,0.035,0.25,0,Weak,Weak,Absent,weak_mutual_weak_anta,Matasgordas,194074.3877,4113534.518,1365.98411,19.72982516,1
25,EM128,0.049,0,0,0.125,0,0.09,Weak,Absent,Absent,Strong,Absent,Weak,0.049,0.125,0.09,Weak,Weak,Weak,weak_mutual_weak_anta,Matasgordas,194090.5632,4113501.718,766.931264,14.56160901,2
26,EM133,0.563,0,0,0.194,0,0,Strong,Absent,Absent,Strong,Absent,Absent,0.563,0.194,0,Strong,Weak,Absent,weak_mutual_strong_anta,Matasgordas,194120.0415,4113503.675,249.747021,12.57182587,3
27,EM136,0,0,0,0.007,0,0,Absent,Absent,Absent,Weak,Absent,Absent,0,0.007,0,Absent,Weak,Absent,weak_mutual,Matasgordas,194143.2927,4113445.69,459.828975,7.845964492,2
28,EM138,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194133.6413,4113428.276,1041.115647,14.18997157,2
29,EM142,0,0,0,0,0,0,Absent,Absent,Absent,Absent,Absent,Absent,0,0,0,Absent,Absent,Absent,absent,Matasgordas,194095.7008,4113433.212,144.068743,1.608558575,4
